ACC,ARI,NMI,dataset,method,backbone,known_cls_ratio,labeled_ratio,cluster_num_factor,seed
31.17,14.57,52.89,banking,AG,glove,0.75,0.1,1.0,0
30.23,14.16,52.45,banking,AG,glove,0.75,0.1,1.0,1
31.4,13.33,52.52,banking,AG,glove,0.75,0.1,1.0,2
31.07,15.04,53.0,banking,AG,glove,0.75,0.1,1.0,3
32.05,14.97,52.94,banking,AG,glove,0.75,0.1,1.0,4
31.49,15.52,53.46,banking,AG,glove,0.75,0.1,1.0,5
30.19,13.18,52.11,banking,AG,glove,0.75,0.1,1.0,6
31.79,15.52,53.35,banking,AG,glove,0.75,0.1,1.0,7
32.01,14.95,53.13,banking,AG,glove,0.75,0.1,1.0,8
30.62,13.04,52.77,banking,AG,glove,0.75,0.1,1.0,9
43.69,26.82,71.75,clinc,AG,glove,0.75,0.1,1.0,0
44.18,26.57,72.04,clinc,AG,glove,0.75,0.1,1.0,1
45.2,27.46,72.24,clinc,AG,glove,0.75,0.1,1.0,2
43.78,26.18,71.87,clinc,AG,glove,0.75,0.1,1.0,3
44.62,28.01,72.69,clinc,AG,glove,0.75,0.1,1.0,4
44.58,27.0,72.41,clinc,AG,glove,0.75,0.1,1.0,5
43.87,26.95,72.2,clinc,AG,glove,0.75,0.1,1.0,6
44.36,27.3,72.46,clinc,AG,glove,0.75,0.1,1.0,7
45.11,28.11,72.65,clinc,AG,glove,0.75,0.1,1.0,8
44.36,27.12,72.17,clinc,AG,glove,0.75,0.1,1.0,9
